,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
PSD4,PSD4,-11.95313498,12.07607757,-71.74476466,0.993489213,0.939164829,-6.358240171
ZNF793-AS1,ZNF793-AS1,10.89842652,9.820704281,-100.3598246,0.996118223,0.229340477,-5.185955341
OR2T11,OR2T11,6.921046718,2.140752829,-54.6137411,0.94368594,0.999417422,-5.541392371
TMEM220,TMEM220,-9.171921982,1.269751996,-93.28078494,0.996118223,0.999417422,-7.416724103
PSG4,PSG4,0.065524387,-2.731620669,38.076279,0.859728027,0.996118223,-7.810064441
NCDN,NCDN,14.92511905,14.6068063,15.96176117,0.999266259,0.999417422,-8.188909028
CXorf56,CXorf56,-6.11863616,-5.746877725,74.92752862,0.974606795,0.933963932,-8.06621073
DISP2,DISP2,4.976176038,2.387418409,8.493803443,0.999417422,0.999417422,-6.412202832
ADGRG2,ADGRG2,10.02580563,-9.676394192,100.1231717,0.999417422,0.999417422,-6.373854956
CSMD1,CSMD1,-1.950104596,16.99669863,26.15895471,0.999417422,0.999561975,-5.965494264
PNMT,PNMT,10.08836285,5.797632289,40.34184066,0.954074419,0.999417422,-4.040485549
SELENOI,SELENOI,-11.27558011,-0.496287562,2.469659874,0.435020105,0.974606795,-6.99820636
ITPRIPL2,ITPRIPL2,0.636844845,9.772979047,31.51814074,0.999417422,0.999417422,-3.422525208
ZRSR2,ZRSR2,1.095771445,-2.584405229,74.41148003,0.742871041,0.999417422,-7.729626234
LIMS3-LOC440895,LIMS3-LOC440895,-6.324532929,-3.68421754,40.23710071,0.999417422,0.861717853,-6.734778999
ADGRG6,ADGRG6,2.923900441,4.038752175,66.43939286,0.877760954,0.04,-7.914113008
NAV2-AS5,NAV2-AS5,12.02029921,5.700367917,66.11405724,0.999417422,0.04,-7.87538653
TLE1,TLE1,12.03263483,9.06236702,32.54607736,0.999417422,0.04,-8.136186713
KIAA1549,KIAA1549,13.95324253,9.898667246,-54.8610974,0.852019757,0.04,-7.758005696
NBPF2P,NBPF2P,-2.08255741,12.95078485,39.18706777,0.999417422,0.04,-7.49635499
PKP2,PKP2,-7.02620047,12.44484976,-66.09829007,0.999417422,0.04,-7.340123316
LINC00954,LINC00954,-4.164686451,-0.274304603,-54.56081626,0.862884206,0.04,-7.697775867
AC239367.1,AC239367.1,-6.326395873,-5.652448389,81.01918757,0.95758307,0.04,-7.081805027
C10orf91,C10orf91,-15.52590235,7.761881916,-48.819743,0.495768438,0.04,-8.036436805
SLC23A2,SLC23A2,4.054429419,-2.340838031,90.66972895,0.999417422,0.04,-7.182554438
ZNF462,ZNF462,7.900241053,-0.74709783,-53.64275331,0.999417422,0.04,-6.398782841
TUBAL3,TUBAL3,-0.010081957,5.96546857,92.7610319,0.999417422,0.04,-8.023217187
RANBP2,RANBP2,8.010005625,-3.579966148,54.06938645,0.999417422,0.04,-6.97659428
PLIN2,PLIN2,-1.904369674,-3.555868345,77.65616493,0.996118223,0.04,-6.784699105
LINC00266-1,LINC00266-1,5.06965282,6.68332749,34.30554467,0.999417422,0.04,-6.810561692
ZNF175,ZNF175,-8.0853181,11.67873599,-23.77242372,0.348172897,0.04,-6.55633013
GABRB3,GABRB3,-11.0950147,-3.354821201,35.2631037,0.939164829,0.472308443,-5.237624274
CEACAMP10,CEACAMP10,13.05086208,-9.495600356,-80.72678947,0.974294963,0.885354345,-7.272232627
ZFHX2,ZFHX2,14.27176746,-8.826987629,59.92177262,0.999417422,0.454482156,-7.952378078
AC130456.2,AC130456.2,14.3450986,8.415589724,-79.59207863,0.999417422,0.472520421,-5.806888341
AC018629.1,AC018629.1,0.032380305,10.56373211,-79.67681293,0.951387526,0.996118223,-6.728345128
SEMA4F,SEMA4F,9.853855707,4.871412663,72.05327111,0.999417422,0.634826526,-6.890764818
AC092667.1,AC092667.1,-1.57656917,-1.701730006,43.74522482,0.999417422,0.990228774,-4.824870929
CFTR,CFTR,-8.989807964,11.79964983,-30.9260108,0.874935595,0.933010692,-6.877490249
LONRF1,LONRF1,-11.1143826,-4.387115621,-67.80652402,0.998740123,0.52064173,-7.180381251
CBLC,CBLC,14.88971865,3.019302312,61.27516689,0.999965168,0.94368594,-6.211292563
PACSIN3,PACSIN3,-7.390807188,9.13988331,-69.18851512,0.996118223,0.999417422,-7.260637525
CFAP57,CFAP57,2.984849562,17.30923863,69.8698929,0.963857787,0.999417422,-3.992577517
AC092295.2,AC092295.2,-8.064811949,15.47865657,-96.50740215,0.030670225,0.999417422,-7.28845504
FNDC3A,FNDC3A,-12.84395673,3.033683295,-3.641509098,0.999417422,0.996118223,-6.563586152
SPATA42,SPATA42,4.855865863,3.320066204,41.24440671,0.999417422,0.999723996,-6.582937358
AC112229.1,AC112229.1,-14.05690619,15.74575484,57.85186701,0.999417422,0.999417422,-8.136252762
YY2,YY2,-12.98650366,7.297695118,-18.71278487,0.782222027,0.999417422,-7.056238092
KLHL8,KLHL8,-9.99877244,-9.084347274,-38.97665759,0.98700787,0.999417422,-7.791873937
KDM7A,KDM7A,-13.02506516,1.13328072,17.45524072,0.996118223,0.999417422,-7.152614574
AC010969.2,AC010969.2,-7.092866498,-7.637134484,3.016771562,0.261229766,0.996118223,-7.430153859
MINPP1,MINPP1,10.91436501,1.703479371,-0.340512132,0.993995976,0.996118223,-7.58546542
WSB2,WSB2,4.980525671,2.873685533,-16.09872386,0.974294963,0.999417422,-7.970905497
UPK1B,UPK1B,8.935385798,12.72271782,75.99332181,0.999417422,0.999266259,-7.958681017
TIRAP,TIRAP,-12.21661639,-4.055885144,-67.93141108,0.999417422,0.993863613,-7.129788424
CDK16,CDK16,-6.94842136,18.22218964,-82.89572895,0.999417422,0.999417422,-7.079776766
CUTC,CUTC,-12.09878323,3.957445203,-0.632662419,0.999417422,0.918145915,-7.075602988
AC013268.1,AC013268.1,5.642582465,11.26312536,25.92694517,0.999417422,0.999417422,-7.359160877
AL023806.3,AL023806.3,4.952286276,-0.654324922,83.59108998,0.88910845,0.993995976,-8.012778028
PPP1R26-AS1,PPP1R26-AS1,8.934530769,4.707612354,-89.7182387,0.999417422,0.999417422,-7.206425215
AC068620.3,AC068620.3,-9.853038462,9.683153779,-8.044341835,0.345145169,0.999417422,-7.852498453
AC023157.3,AC023157.3,3.987508815,10.76262545,38.84603093,0.81284458,0.999417422,-7.01223526
TENM4,TENM4,-5.897649655,7.608728761,12.40705052,0.999417422,0.974217287,-6.530168278
MAP2K3,MAP2K3,-6.036582387,6.554363789,-58.25511156,0.999417422,0.038327883,-8.141222674
ZNF467,ZNF467,11.05931563,17.69507944,77.39213263,0.999417422,0.996118223,-7.063800218
ERICD,ERICD,2.93420432,11.7818715,-62.40032372,0.799117488,0.890225626,-7.69489848
NLRP10,NLRP10,-4.067484891,20.55989132,11.06913493,0.996118223,0.999266259,-7.325451191
GATA2-AS1,GATA2-AS1,4.10469343,3.692599083,88.08212162,0.999417422,0.999417422,-7.735544192
LINC01748,LINC01748,-7.206651764,-0.270396596,-84.11774823,0.999417422,0.999417422,-5.880807676
TMEM236,TMEM236,12.01716937,-5.374646826,-83.73808469,0.999417422,0.999417422,-6.878686939
TPRXL,TPRXL,4.947400424,18.3383696,-40.6406343,0.999417422,0.999800608,-7.500851649
YIPF6,YIPF6,7.964058876,12.76286521,-81.62985549,0.980476868,0.999417422,-7.738017884
FNIP1,FNIP1,13.93176948,-4.242936918,-64.63422003,0.811982188,0.699621616,-7.603652366
BCAM,BCAM,-8.816034177,-11.14034011,1.720328846,0.996118223,0.999417422,-7.118039941
NR3C2,NR3C2,3.972346434,6.015460591,71.40364855,0.974294963,0.999417422,-7.98783411
AC004076.2,AC004076.2,2.088375758,4.952044214,-99.40231088,0.999417422,0.996118223,-7.591185563
CCDC36,CCDC36,-3.087771405,-10.389108,17.65051772,0.964303788,0.951461574,-7.822181802
ZNF582-AS1,ZNF582-AS1,10.93627744,-3.858832654,53.43044773,0.999417422,0.999417422,-7.941201297
SMARCA1,SMARCA1,5.032868866,0.547646235,-10.4162291,0.954706541,0.885354345,-3.878602862
AC129926.1,AC129926.1,1.937574749,10.3152539,59.49381952,0.996118223,0.345145169,-6.015408163
AL390729.1,AL390729.1,-15.36041421,6.061699849,69.21034563,0.999417422,0.999417422,-6.914605016
AC079305.1,AC079305.1,6.97568625,7.282695652,95.85115488,0.999417422,0.999417422,-7.381407239
SLC2A8,SLC2A8,10.98019841,-7.363896787,-15.2499656,0.931831176,0.999417422,-7.923419818
AARS,AARS,7.005704935,20.877957,40.08351293,0.415146809,0.999417422,-7.551789013
IL13RA2,IL13RA2,4.921000544,16.11851626,-38.6184557,0.999417422,0.789375662,-6.506403436
ELMO3,ELMO3,0.859196309,10.10471483,7.396183695,0.999417422,0.966127521,-7.65776861
NUPR1,NUPR1,-10.27093212,10.16350107,17.85458289,0.709697692,0.997256012,-6.410022485
RPS6KA6,RPS6KA6,-6.989107649,-2.495950093,18.14779824,0.999417422,0.824174397,-8.038503946
AC008825.1,AC008825.1,-2.177161406,-9.501231741,69.67627014,0.997256012,0.908346425,-7.055925561
LCA5,LCA5,-10.98668334,-4.036694104,-14.77987213,0.999417422,0.996118223,-5.597042206
LBX2,LBX2,-6.035434324,16.28048814,80.12908225,0.999417422,0.996118223,-8.017835675
SLC25A43,SLC25A43,13.04251106,-3.474405231,3.833760277,0.999417422,0.991929158,-7.078157041
FABP3,FABP3,-0.991107416,-16.43032814,-56.96214607,0.999417422,0.999417422,-6.644884658
SPECC1L,SPECC1L,-9.993132783,15.12956753,-3.944205462,0.999417422,0.999417422,-6.865753952
RF00212,RF00212,6.104611355,-3.657562944,-21.7378659,0.487906614,0.999417422,-6.611074798
BCL9L,BCL9L,-7.960983048,10.30806662,38.83352001,0.999417422,0.931831176,-7.74244351
EIF4A1P10,EIF4A1P10,-8.086190907,-9.098058355,-72.72454714,0.999417422,0.999417422,-6.669570858
TTPAL,TTPAL,-12.85441327,7.846485037,-7.74255512,0.999417422,0.617999837,-7.224557794
CLDN4,CLDN4,-10.95026345,-5.728499813,53.98822926,0.999417422,0.95758307,-7.188087068
AL391244.1,AL391244.1,-12.13692763,-1.459489857,-23.75427954,0.77544551,0.996118223,-6.895487109
CA5BP1,CA5BP1,-8.975053877,9.812396905,-82.60004188,0.999417422,0.999417422,-6.570567282
ERAP2,ERAP2,-7.18950161,8.821123567,-28.75181756,0.984994828,0.999417422,-6.469917178
RSPH10B2,RSPH10B2,-3.841978508,-7.340627909,-94.35485839,0.999417422,0.73756433,-2.477565256
SERPINB2,SERPINB2,-5.032216707,15.29864376,-48.20357723,0.999417422,0.61133324,-5.697426519
AL359752.1,AL359752.1,14.95917153,-5.554546907,44.04729265,0.819529004,0.999417422,-4.163420083
AP002761.3,AP002761.3,-14.92415382,-1.595781021,-57.42374626,0.999417422,0.996118223,-7.955338133
AL353804.1,AL353804.1,-7.262890754,14.18493781,-46.12367546,0.974606795,0.350699941,-7.631612481
NEMP1,NEMP1,-0.029404515,2.44836744,-80.19159686,0.999417422,0.974606795,-4.958712897
QPCT,QPCT,2.089972882,-3.748309706,-95.36093893,0.808674475,0.999417422,-6.87788313
UBR1,UBR1,-5.666124577,-3.089051916,99.06911984,0.890225626,0.861717853,-7.0401624
INHBA,INHBA,14.92608063,13.42654548,6.803279762,0.999417422,0.999417422,-7.509761725
CHM,CHM,-1.216060104,-1.6354717,-81.36513213,0.996118223,0.831853243,-7.976154972
CEACAM19,CEACAM19,-15.00060414,19.45800086,47.99174531,0.996118223,0.999800608,-7.562793737
C9orf116,C9orf116,11.25527028,-4.349228323,-26.06603581,0.999417422,0.999417422,-6.429453587
ECH1,ECH1,-12.19694896,0.703904295,90.80215125,0.934160962,0.824787781,-7.927634129
LMAN2L,LMAN2L,8.922814711,15.47820975,-13.48625969,0.913859321,0.999417422,-7.27297717
SNORA71A,SNORA71A,14.41394911,-0.700258631,93.66542775,0.999417422,0.999417422,-7.541280889
SRPK1,SRPK1,-8.037108801,9.007264981,-39.21402963,0.999417422,0.999417422,-5.268838069
LSM2,LSM2,-12.46576698,8.297876353,64.37894724,0.919937463,0.435020105,-5.965060577
BEND3,BEND3,-14.17971879,-1.162766169,-94.70061065,0.999417422,0.999417422,-7.452319064
HRAT92,HRAT92,2.388930266,-10.19748891,73.42750093,0.996118223,0.999417422,-7.193868221
HMGCS2,HMGCS2,13.00308759,-16.02960001,-88.99096418,0.997256012,0.999417422,-7.510671909
AC133644.3,AC133644.3,14.86773608,-10.08731793,-83.62447626,0.558703785,0.831853243,-6.879460945
SCARNA13,SCARNA13,-6.976741514,7.501468669,-85.8633595,0.999417422,0.999417422,-5.858699704
THBD,THBD,4.911930953,-8.139537939,-92.80761699,0.884957907,0.999417422,-4.668293451
MECR,MECR,-0.904606298,0.388740459,11.02119863,0.94368594,0.999417422,-2.960122947
NPAT,NPAT,-5.833923808,3.511644232,-84.35452405,0.884957907,0.98700787,-7.496118952
KCNK1,KCNK1,14.78411645,-11.07063622,-84.44212385,0.999417422,0.999417422,-5.032053511
ITPRID1,ITPRID1,-8.120462405,-7.406233883,-88.54390247,0.866177092,0.999417422,-8.101394734
ZBTB1,ZBTB1,-2.089998704,2.310195185,-72.90344412,0.999417422,0.999417422,-8.058230311
C8G,C8G,-9.003873142,18.15289267,-74.07978887,0.999417422,0.980476868,-7.149152437
DDX11L16,DDX11L16,-14.494474,0.70926382,-25.20759475,0.999417422,0.999417422,-7.236193154
TRIM56,TRIM56,11.22908383,-9.089842908,93.28164123,0.996118223,0.107211705,-6.956856841
PTPRU,PTPRU,6.964132313,-5.798346128,-73.54013723,0.999417422,0.715713753,-5.522742338
SYDE1,SYDE1,8.839146955,13.82535113,-75.17024615,0.999417422,0.999965168,-6.338562126
TAGLN2P1,TAGLN2P1,15.04081412,16.1935973,-34.48188522,0.974606795,0.999417422,-7.826524894
PDPK1,PDPK1,-1.096596223,5.644602502,53.72223983,0.999266259,0.999417422,-6.617048128
ZNF209P,ZNF209P,6.928413122,3.118313418,-78.52393205,0.999417422,0.834647087,-4.070204641
4-Mar,4-Mar,-4.969607807,-7.50460315,84.20744807,0.990894247,0.999417422,-6.736513491
HDAC10,HDAC10,-1.035532874,10.35321233,-43.63373503,0.999417422,0.999417422,-6.851174629
AC073136.2,AC073136.2,-0.022475009,-9.007107189,8.371060286,0.999417422,0.999417422,-3.741649164
CGB8,CGB8,12.96537367,6.41927203,20.84963883,0.999417422,0.999417422,-7.576594913
CGB7,CGB7,7.229072259,16.8457188,10.80508165,0.954955361,0.715713753,-8.04035678
TBC1D30,TBC1D30,-12.23355797,-10.15186777,56.77664863,0.953646318,0.996118223,-7.534204566
LINC01124,LINC01124,-9.120120786,5.679063514,-59.83833026,0.470992358,0.999417422,-7.421897581
CGB2,CGB2,-15.13944327,11.52765465,36.93970825,0.999417422,0.999417422,-7.188505444
GABRG2,GABRG2,-14.12840121,5.421571965,-95.90894613,0.999417422,0.999417422,-7.05248269
MTMR10,MTMR10,0.066576587,-5.211174803,27.22945555,0.999417422,0.996118223,-7.403469213
ZNF497,ZNF497,9.879141741,14.97611543,5.803501537,0.990228774,0.999417422,-7.92342435
CCDC189,CCDC189,2.06110447,-1.367189123,-13.9055283,0.999417422,0.999266259,-6.822896064
WASF3,WASF3,-12.06797758,-6.659084974,75.35443184,0.997256012,0.999417422,-6.698986771
ACVR2B-AS1,ACVR2B-AS1,0.001952488,15.49553666,-84.96800965,0.638891057,0.999417422,-7.905476089
AL139385.1,AL139385.1,-7.051339126,-6.622226528,-56.41468406,0.999417422,0.999723996,-8.214819494
ZNF281,ZNF281,2.352110495,7.121501624,-94.45664693,0.999417422,0.04,-6.764301267
TNFRSF12A,TNFRSF12A,6.963092924,13.47200975,81.56672662,0.989572905,0.04,-5.367498891
C21orf91,C21orf91,11.03794432,-8.769593325,63.30538135,0.999417422,0.04,-8.000186574
CD99P1,CD99P1,-9.919168565,14.9836181,-18.12560704,0.996118223,0.04,-6.727446446
CHP2,CHP2,-15.01511546,-6.227306909,34.57719568,0.999417422,0.04,-7.632618643
TMED10P2,TMED10P2,-3.025552412,11.18567779,38.82416884,0.999417422,0.04,-7.411275124
NAT14,NAT14,-0.977430238,7.233247313,-0.856775493,0.973452,0.04,-6.326084507
EMP2,EMP2,0.125607782,-10.86597612,-55.54681965,0.999417422,0.04,-5.857054755
THAP8,THAP8,13.95766609,12.23356886,77.74913735,0.999417422,0.04,-6.760179857
SLC4A8,SLC4A8,14.08022395,12.43732219,81.93728424,0.999417422,0.04,-7.885099539
AL020996.1,AL020996.1,-1.985633417,6.563853442,-93.92145408,0.999417422,0.04,-6.864595716
ERP44,ERP44,-6.001502033,8.56107504,35.96373978,0.999417422,0.04,-2.353368493
G2E3-AS1,G2E3-AS1,1.958621868,9.000804238,-59.52834645,0.999417422,0.04,-7.786833048
LIMD1,LIMD1,-13.21863503,-2.474234314,-2.128357658,0.999417422,0.04,-7.512151766
F2R,F2R,-2.038187383,19.32264589,39.34935712,0.999417422,0.04,-7.039915327
ADCK2,ADCK2,6.951139936,5.230620871,41.92881513,0.884146563,0.04,-8.126061549
PRR12,PRR12,-2.131505266,8.976580448,8.378779022,0.999417422,0.04,-8.018171489
AC018761.3,AC018761.3,-11.18731636,5.583683065,-68.80045152,0.999417422,0.04,-8.041517815
LINC02109,LINC02109,-1.873179927,4.668270663,-15.64638584,0.999417422,0.04,-7.78201778
TTC7A,TTC7A,-1.967688576,4.214547262,-28.80549578,0.999417422,0.04,7.527897254
SSBP4,SSBP4,6.025473024,-3.205559759,-17.84166645,0.999965168,0.04,-6.488696342
AL035458.2,AL035458.2,-3.901068109,-7.457004011,-33.53472792,0.999417422,0.04,-4.275163679
SCMH1,SCMH1,-2.988997093,0.307536992,-43.94729967,0.974294963,0.04,-7.281988454
AC093821.1,AC093821.1,-6.056293349,9.321120328,10.72467954,0.999417422,0.04,-7.066820293
GPR157,GPR157,5.927405272,10.34111192,-9.438681126,0.831853243,0.04,-7.2508954
LIMS4,LIMS4,-13.89747471,3.156904214,-94.66327332,0.996118223,0.04,-7.732583244
RABL2A,RABL2A,3.674580152,-2.485120712,-31.99658594,0.999417422,0.04,-7.569879371
FUNDC2,FUNDC2,13.95851637,1.335026291,10.77833793,0.999417422,0.04,-7.938493615
MON1B,MON1B,-6.012137864,9.456891196,81.93659798,0.996118223,0.04,-7.443817141
RNF220,RNF220,7.077825276,-9.98210479,34.31484461,0.779555375,0.04,-6.939285099
AC140479.4,AC140479.4,3.031210262,14.04845413,28.6209285,0.268450458,0.04,-8.175680177
AFF3,AFF3,-0.900675098,-3.429318991,-78.43437911,0.974294963,0.04,-7.871839428
HEG1,HEG1,4.373769769,3.388243827,16.10191079,0.999417422,0.04,-7.641765431
BAZ2B,BAZ2B,9.999698671,14.66732368,-89.00597068,0.999417422,0.04,-5.327774404
FAM189B,FAM189B,-0.000792001,6.492425516,-47.01771693,0.999417422,0.04,-8.201330676
AC138123.1,AC138123.1,-7.761731456,5.715381637,-26.00816165,0.734119079,0.04,-6.745789538
POLG,POLG,10.9502927,21.13750629,7.629674399,0.98650474,0.04,-6.249352274
AC243964.3,AC243964.3,-3.020038107,10.9134363,0.776955657,0.93574385,0.04,-3.932432354
UBALD2,UBALD2,-8.980964531,7.993387497,60.40196697,0.931831176,0.04,-7.3730189
SLC10A6,SLC10A6,-15.23810935,-12.68740589,0.8426577,0.946245899,0.04,-7.223530294
ARHGEF28,ARHGEF28,4.85693127,9.875427015,70.51357291,0.913574047,0.04,-7.027152517
KRT80,KRT80,0.907408194,17.14966835,6.180316329,0.999417422,0.04,-7.044184964
KIF3A,KIF3A,14.99846119,4.327473737,-59.01783168,0.989885948,0.04,-7.647981975
OPA3,OPA3,-11.83690995,15.22534709,-33.81289743,0.838116303,0.04,-6.420287745
PPL,PPL,1.798492427,-5.098362297,82.72072945,0.999417422,0.04,-7.128105662
AC090543.2,AC090543.2,15.03457873,9.426452967,90.33179797,0.999417422,0.04,-5.787390566
PRRG1,PRRG1,-8.807290211,11.92307199,-57.0199874,0.999417422,0.04,-4.072613685
AC068282.1,AC068282.1,-5.026199984,0.257355951,59.4998418,0.999417422,0.04,-6.158804729
