Student,Topic,Subtopic,Question,Type,Score
Student38,ProfDev,Coding_solutions,Q54,prescore,1
Student38,ProfDev,Coding_solutions,Q55,prescore,1
Student38,ProfDev,Coding_solutions,Q56,prescore,1
Student38,ProfDev,Interpreting_plots,Q57,prescore,1
Student38,ProfDev,Interpreting_plots,Q58,prescore,1
Student38,ProfDev,Interpreting_plots,Q59,prescore,0
Student38,ProfDev,Interpreting_plots,Q60,prescore,1
Student7,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student7,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student7,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student7,Biology,Cancer_biology_cell_lines,Q4,prescore,0
Student7,Biology,Sex_chromosomes,Q5,prescore,1
Student7,Biology,Sex_chromosomes,Q6,prescore,1
Student7,Biology,Sex_chromosomes,Q7,prescore,0
Student7,Biology,Sex_chromosomes,Q8,prescore,1
Student7,Biology,RNA_RNAseq,Q9,prescore,1
Student7,Biology,RNA_RNAseq,Q10,prescore,1
Student7,Biology,RNA_RNAseq,Q11,prescore,1
Student7,Biology,RNA_RNAseq,Q12,prescore,1
Student7,Biology,Gene_expression,Q13,prescore,0
Student7,Biology,Gene_expression,Q14,prescore,1
Student7,Biology,Gene_expression,Q15,prescore,1
Student7,Biology,Gene_expression,Q16,prescore,1
Student7,Biology,XCI,Q17,prescore,0
Student7,Biology,XCI,Q18,prescore,1
Student7,Biology,XCI,Q19,prescore,1
Student7,Biology,XCI,Q20,prescore,1
Student7,Coding,R_Rmd,Q21,prescore,1
Student7,Coding,R_Rmd,Q22,prescore,1
Student7,Coding,R_Rmd,Q23,prescore,0
Student7,Coding,R_Rmd,Q24,prescore,1
Student7,Coding,R_data_frames,Q25,prescore,0
Student7,Coding,R_data_frames,Q26,prescore,1
Student7,Coding,R_data_frames,Q27,prescore,0
Student7,Coding,R_data_frames,Q28,prescore,1
Student7,Coding,R_functions_loops,Q29,prescore,1
Student7,Coding,R_functions_loops,Q30,prescore,1
Student7,Coding,R_functions_loops,Q31,prescore,1
Student7,Coding,R_functions_loops,Q32,prescore,1
Student7,Coding,R_if_statements,Q33,prescore,1
Student7,Coding,R_if_statements,Q34,prescore,1
Student7,Coding,R_if_statements,Q35,prescore,1
Student7,Coding,R_if_statements,Q36,prescore,1
Student7,Coding,Linux_command_line,Q37,prescore,1
Student7,Coding,Linux_command_line,Q38,prescore,1
Student7,Coding,Linux_command_line,Q39,prescore,1
Student7,Coding,Linux_command_line,Q40,prescore,0
Student7,ProfDev,Authorship,Q41,prescore,0
Student7,ProfDev,Authorship,Q42,prescore,1
Student7,ProfDev,Authorship,Q43,prescore,0
Student7,ProfDev,Authorship,Q44,prescore,1
Student7,ProfDev,Reading_papers,Q45,prescore,1
Student7,ProfDev,Reading_papers,Q46,prescore,0
Student7,ProfDev,Reading_papers,Q47,prescore,1
Student7,ProfDev,Reading_papers,Q48,prescore,1
Student7,ProfDev,Writing_paper,Q49,prescore,1
Student7,ProfDev,Writing_paper,Q50,prescore,1
Student7,ProfDev,Writing_paper,Q51,prescore,1
Student7,ProfDev,Writing_paper,Q52,prescore,1
Student7,ProfDev,Coding_solutions,Q53,prescore,1
Student7,ProfDev,Coding_solutions,Q54,prescore,1
Student7,ProfDev,Coding_solutions,Q55,prescore,1
Student7,ProfDev,Coding_solutions,Q56,prescore,1
Student7,ProfDev,Interpreting_plots,Q57,prescore,1
Student7,ProfDev,Interpreting_plots,Q58,prescore,1
Student7,ProfDev,Interpreting_plots,Q59,prescore,1
Student7,ProfDev,Interpreting_plots,Q60,prescore,1
Student20,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student20,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student20,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student20,Biology,Cancer_biology_cell_lines,Q4,prescore,1
Student20,Biology,Sex_chromosomes,Q5,prescore,1
Student20,Biology,Sex_chromosomes,Q6,prescore,1
Student20,Biology,Sex_chromosomes,Q7,prescore,1
Student20,Biology,Sex_chromosomes,Q8,prescore,1
Student20,Biology,RNA_RNAseq,Q9,prescore,1
Student20,Biology,RNA_RNAseq,Q10,prescore,1
Student20,Biology,RNA_RNAseq,Q11,prescore,1
Student20,Biology,RNA_RNAseq,Q12,prescore,1
Student20,Biology,Gene_expression,Q13,prescore,0
Student20,Biology,Gene_expression,Q14,prescore,1
Student20,Biology,Gene_expression,Q15,prescore,1
Student20,Biology,Gene_expression,Q16,prescore,1
Student20,Biology,XCI,Q17,prescore,0
Student20,Biology,XCI,Q18,prescore,1
Student20,Biology,XCI,Q19,prescore,0
Student20,Biology,XCI,Q20,prescore,0
Student20,Coding,R_Rmd,Q21,prescore,1
Student20,Coding,R_Rmd,Q22,prescore,1
Student20,Coding,R_Rmd,Q23,prescore,1
Student20,Coding,R_Rmd,Q24,prescore,1
Student20,Coding,R_data_frames,Q25,prescore,0
Student20,Coding,R_data_frames,Q26,prescore,1
Student20,Coding,R_data_frames,Q27,prescore,1
Student20,Coding,R_data_frames,Q28,prescore,1
Student20,Coding,R_functions_loops,Q29,prescore,1
Student20,Coding,R_functions_loops,Q30,prescore,0
Student20,Coding,R_functions_loops,Q31,prescore,1
Student20,Coding,R_functions_loops,Q32,prescore,0
Student20,Coding,R_if_statements,Q33,prescore,0
Student20,Coding,R_if_statements,Q34,prescore,1
Student20,Coding,R_if_statements,Q35,prescore,0
Student20,Coding,R_if_statements,Q36,prescore,0
Student20,Coding,Linux_command_line,Q37,prescore,0
Student20,Coding,Linux_command_line,Q38,prescore,0
Student20,Coding,Linux_command_line,Q39,prescore,0
Student20,Coding,Linux_command_line,Q40,prescore,0
Student20,ProfDev,Authorship,Q41,prescore,1
Student20,ProfDev,Authorship,Q42,prescore,1
Student20,ProfDev,Authorship,Q43,prescore,1
Student20,ProfDev,Authorship,Q44,prescore,1
Student20,ProfDev,Reading_papers,Q45,prescore,1
Student20,ProfDev,Reading_papers,Q46,prescore,0
Student20,ProfDev,Reading_papers,Q47,prescore,0
Student20,ProfDev,Reading_papers,Q48,prescore,0
Student20,ProfDev,Writing_paper,Q49,prescore,0
Student20,ProfDev,Writing_paper,Q50,prescore,1
Student20,ProfDev,Writing_paper,Q51,prescore,1
Student20,ProfDev,Writing_paper,Q52,prescore,0
Student20,ProfDev,Coding_solutions,Q53,prescore,0
Student20,ProfDev,Coding_solutions,Q54,prescore,1
Student20,ProfDev,Coding_solutions,Q55,prescore,0
Student20,ProfDev,Coding_solutions,Q56,prescore,0
Student20,ProfDev,Interpreting_plots,Q57,prescore,0
Student20,ProfDev,Interpreting_plots,Q58,prescore,1
Student20,ProfDev,Interpreting_plots,Q59,prescore,0
Student20,ProfDev,Interpreting_plots,Q60,prescore,1
Student26,Biology,Cancer_biology_cell_lines,Q1,prescore,0
Student26,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student26,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student26,Biology,Cancer_biology_cell_lines,Q4,prescore,1
Student26,Biology,Sex_chromosomes,Q5,prescore,0
Student26,Biology,Sex_chromosomes,Q6,prescore,1
Student26,Biology,Sex_chromosomes,Q7,prescore,1
Student26,Biology,Sex_chromosomes,Q8,prescore,1
Student26,Biology,RNA_RNAseq,Q9,prescore,1
Student26,Biology,RNA_RNAseq,Q10,prescore,1
Student26,Biology,RNA_RNAseq,Q11,prescore,1
Student26,Biology,RNA_RNAseq,Q12,prescore,1
Student26,Biology,Gene_expression,Q13,prescore,0
Student26,Biology,Gene_expression,Q14,prescore,1
Student26,Biology,Gene_expression,Q15,prescore,1
Student26,Biology,Gene_expression,Q16,prescore,0
Student26,Biology,XCI,Q17,prescore,1
Student26,Biology,XCI,Q18,prescore,1
Student26,Biology,XCI,Q19,prescore,1
Student26,Biology,XCI,Q20,prescore,1
Student26,Coding,R_Rmd,Q21,prescore,1
Student26,Coding,R_Rmd,Q22,prescore,1
Student26,Coding,R_Rmd,Q23,prescore,1
Student26,Coding,R_Rmd,Q24,prescore,1
Student26,Coding,R_data_frames,Q25,prescore,0
Student26,Coding,R_data_frames,Q26,prescore,1
Student26,Coding,R_data_frames,Q27,prescore,0
Student26,Coding,R_data_frames,Q28,prescore,1
Student26,Coding,R_functions_loops,Q29,prescore,1
Student26,Coding,R_functions_loops,Q30,prescore,1
Student26,Coding,R_functions_loops,Q31,prescore,1
Student26,Coding,R_functions_loops,Q32,prescore,0
Student26,Coding,R_if_statements,Q33,prescore,1
Student26,Coding,R_if_statements,Q34,prescore,1
Student26,Coding,R_if_statements,Q35,prescore,1
Student26,Coding,R_if_statements,Q36,prescore,0
Student26,Coding,Linux_command_line,Q37,prescore,0
Student26,Coding,Linux_command_line,Q38,prescore,0
Student26,Coding,Linux_command_line,Q39,prescore,0
Student26,Coding,Linux_command_line,Q40,prescore,0
Student26,ProfDev,Authorship,Q41,prescore,1
Student26,ProfDev,Authorship,Q42,prescore,0
Student26,ProfDev,Authorship,Q43,prescore,1
Student26,ProfDev,Authorship,Q44,prescore,0
Student26,ProfDev,Reading_papers,Q45,prescore,1
Student26,ProfDev,Reading_papers,Q46,prescore,0
Student26,ProfDev,Reading_papers,Q47,prescore,1
Student26,ProfDev,Reading_papers,Q48,prescore,1
Student26,ProfDev,Writing_paper,Q49,prescore,1
Student26,ProfDev,Writing_paper,Q50,prescore,1
Student26,ProfDev,Writing_paper,Q51,prescore,1
Student26,ProfDev,Writing_paper,Q52,prescore,0
Student26,ProfDev,Coding_solutions,Q53,prescore,1
Student26,ProfDev,Coding_solutions,Q54,prescore,1
Student26,ProfDev,Coding_solutions,Q55,prescore,1
Student26,ProfDev,Coding_solutions,Q56,prescore,1
Student26,ProfDev,Interpreting_plots,Q57,prescore,1
Student26,ProfDev,Interpreting_plots,Q58,prescore,1
Student26,ProfDev,Interpreting_plots,Q59,prescore,1
Student26,ProfDev,Interpreting_plots,Q60,prescore,1
Student8,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student8,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student8,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student8,Biology,Cancer_biology_cell_lines,Q4,prescore,1
Student8,Biology,Sex_chromosomes,Q5,prescore,1
Student8,Biology,Sex_chromosomes,Q6,prescore,1
Student8,Biology,Sex_chromosomes,Q7,prescore,1
Student8,Biology,Sex_chromosomes,Q8,prescore,1
Student8,Biology,RNA_RNAseq,Q9,prescore,1
Student8,Biology,RNA_RNAseq,Q10,prescore,1
Student8,Biology,RNA_RNAseq,Q11,prescore,1
Student8,Biology,RNA_RNAseq,Q12,prescore,1
Student8,Biology,Gene_expression,Q13,prescore,0
Student8,Biology,Gene_expression,Q14,prescore,1
Student8,Biology,Gene_expression,Q15,prescore,1
Student8,Biology,Gene_expression,Q16,prescore,1
Student8,Biology,XCI,Q17,prescore,1
Student8,Biology,XCI,Q18,prescore,1
Student8,Biology,XCI,Q19,prescore,0
Student8,Biology,XCI,Q20,prescore,0
Student8,Coding,R_Rmd,Q21,prescore,1
Student8,Coding,R_Rmd,Q22,prescore,1
Student8,Coding,R_Rmd,Q23,prescore,1
Student8,Coding,R_Rmd,Q24,prescore,1
Student8,Coding,R_data_frames,Q25,prescore,0
Student8,Coding,R_data_frames,Q26,prescore,1
Student8,Coding,R_data_frames,Q27,prescore,1
Student8,Coding,R_data_frames,Q28,prescore,1
Student8,Coding,R_functions_loops,Q29,prescore,1
Student8,Coding,R_functions_loops,Q30,prescore,1
Student8,Coding,R_functions_loops,Q31,prescore,1
Student8,Coding,R_functions_loops,Q32,prescore,0
Student8,Coding,R_if_statements,Q33,prescore,1
Student8,Coding,R_if_statements,Q34,prescore,0
Student8,Coding,R_if_statements,Q35,prescore,0
Student8,Coding,R_if_statements,Q36,prescore,0
Student8,Coding,Linux_command_line,Q37,prescore,0
Student8,Coding,Linux_command_line,Q38,prescore,0
Student8,Coding,Linux_command_line,Q39,prescore,0
Student8,Coding,Linux_command_line,Q40,prescore,0
Student8,ProfDev,Authorship,Q41,prescore,0
Student8,ProfDev,Authorship,Q42,prescore,1
Student8,ProfDev,Authorship,Q43,prescore,0
Student8,ProfDev,Authorship,Q44,prescore,1
Student8,ProfDev,Reading_papers,Q45,prescore,1
Student8,ProfDev,Reading_papers,Q46,prescore,1
Student8,ProfDev,Reading_papers,Q47,prescore,1
Student8,ProfDev,Reading_papers,Q48,prescore,1
Student8,ProfDev,Writing_paper,Q49,prescore,1
Student8,ProfDev,Writing_paper,Q50,prescore,1
Student8,ProfDev,Writing_paper,Q51,prescore,1
Student8,ProfDev,Writing_paper,Q52,prescore,1
Student8,ProfDev,Coding_solutions,Q53,prescore,1
Student8,ProfDev,Coding_solutions,Q54,prescore,1
Student8,ProfDev,Coding_solutions,Q55,prescore,1
Student8,ProfDev,Coding_solutions,Q56,prescore,1
Student8,ProfDev,Interpreting_plots,Q57,prescore,0
Student8,ProfDev,Interpreting_plots,Q58,prescore,1
Student8,ProfDev,Interpreting_plots,Q59,prescore,1
Student8,ProfDev,Interpreting_plots,Q60,prescore,1
Student21,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student21,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student21,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student21,Biology,Cancer_biology_cell_lines,Q4,prescore,0
Student21,Biology,Sex_chromosomes,Q5,prescore,0
Student21,Biology,Sex_chromosomes,Q6,prescore,1
Student21,Biology,Sex_chromosomes,Q7,prescore,1
Student21,Biology,Sex_chromosomes,Q8,prescore,1
Student21,Biology,RNA_RNAseq,Q9,prescore,1
Student21,Biology,RNA_RNAseq,Q10,prescore,0
Student21,Biology,RNA_RNAseq,Q11,prescore,0
Student21,Biology,RNA_RNAseq,Q12,prescore,0
Student21,Biology,Gene_expression,Q13,prescore,1
Student21,Biology,Gene_expression,Q14,prescore,1
Student21,Biology,Gene_expression,Q15,prescore,1
Student21,Biology,Gene_expression,Q16,prescore,0
Student21,Biology,XCI,Q17,prescore,1
Student21,Biology,XCI,Q18,prescore,1
Student21,Biology,XCI,Q19,prescore,1
Student21,Biology,XCI,Q20,prescore,1
Student21,Coding,R_Rmd,Q21,prescore,1
Student21,Coding,R_Rmd,Q22,prescore,1
Student21,Coding,R_Rmd,Q23,prescore,0
Student21,Coding,R_Rmd,Q24,prescore,1
Student21,Coding,R_data_frames,Q25,prescore,0
Student21,Coding,R_data_frames,Q26,prescore,0
Student21,Coding,R_data_frames,Q27,prescore,0
Student21,Coding,R_data_frames,Q28,prescore,0
Student21,Coding,R_functions_loops,Q29,prescore,1
Student21,Coding,R_functions_loops,Q30,prescore,1
Student21,Coding,R_functions_loops,Q31,prescore,0
Student21,Coding,R_functions_loops,Q32,prescore,1
Student21,Coding,R_if_statements,Q33,prescore,0
Student21,Coding,R_if_statements,Q34,prescore,0
Student21,Coding,R_if_statements,Q35,prescore,1
Student21,Coding,R_if_statements,Q36,prescore,0
Student21,Coding,Linux_command_line,Q37,prescore,0
Student21,Coding,Linux_command_line,Q38,prescore,0
Student21,Coding,Linux_command_line,Q39,prescore,1
Student21,Coding,Linux_command_line,Q40,prescore,0
Student21,ProfDev,Authorship,Q41,prescore,0
Student21,ProfDev,Authorship,Q42,prescore,1
Student21,ProfDev,Authorship,Q43,prescore,0
Student21,ProfDev,Authorship,Q44,prescore,0
Student21,ProfDev,Reading_papers,Q45,prescore,1
Student21,ProfDev,Reading_papers,Q46,prescore,0
Student21,ProfDev,Reading_papers,Q47,prescore,1
Student21,ProfDev,Reading_papers,Q48,prescore,1
Student21,ProfDev,Writing_paper,Q49,prescore,1
Student21,ProfDev,Writing_paper,Q50,prescore,1
Student21,ProfDev,Writing_paper,Q51,prescore,1
Student21,ProfDev,Writing_paper,Q52,prescore,1
Student21,ProfDev,Coding_solutions,Q53,prescore,1
Student21,ProfDev,Coding_solutions,Q54,prescore,1
Student21,ProfDev,Coding_solutions,Q55,prescore,1
Student21,ProfDev,Coding_solutions,Q56,prescore,1
Student21,ProfDev,Interpreting_plots,Q57,prescore,1
Student21,ProfDev,Interpreting_plots,Q58,prescore,1
Student21,ProfDev,Interpreting_plots,Q59,prescore,1
Student21,ProfDev,Interpreting_plots,Q60,prescore,1
Student3,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student3,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student3,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student3,Biology,Cancer_biology_cell_lines,Q4,prescore,0
Student3,Biology,Sex_chromosomes,Q5,prescore,1
Student3,Biology,Sex_chromosomes,Q6,prescore,1
Student3,Biology,Sex_chromosomes,Q7,prescore,1
Student3,Biology,Sex_chromosomes,Q8,prescore,1
Student3,Biology,RNA_RNAseq,Q9,prescore,1
Student3,Biology,RNA_RNAseq,Q10,prescore,0
Student3,Biology,RNA_RNAseq,Q11,prescore,1
Student3,Biology,RNA_RNAseq,Q12,prescore,1
Student3,Biology,Gene_expression,Q13,prescore,0
Student3,Biology,Gene_expression,Q14,prescore,1
Student3,Biology,Gene_expression,Q15,prescore,1
Student3,Biology,Gene_expression,Q16,prescore,0
Student3,Biology,XCI,Q17,prescore,0
Student3,Biology,XCI,Q18,prescore,1
Student3,Biology,XCI,Q19,prescore,0
Student3,Biology,XCI,Q20,prescore,0
Student3,Coding,R_Rmd,Q21,prescore,1
Student3,Coding,R_Rmd,Q22,prescore,1
Student3,Coding,R_Rmd,Q23,prescore,1
Student3,Coding,R_Rmd,Q24,prescore,1
Student3,Coding,R_data_frames,Q25,prescore,0
Student3,Coding,R_data_frames,Q26,prescore,0
Student3,Coding,R_data_frames,Q27,prescore,1
Student3,Coding,R_data_frames,Q28,prescore,0
Student3,Coding,R_functions_loops,Q29,prescore,1
Student3,Coding,R_functions_loops,Q30,prescore,1
Student3,Coding,R_functions_loops,Q31,prescore,1
Student3,Coding,R_functions_loops,Q32,prescore,0
Student3,Coding,R_if_statements,Q33,prescore,0
Student3,Coding,R_if_statements,Q34,prescore,1
Student3,Coding,R_if_statements,Q35,prescore,0
Student3,Coding,R_if_statements,Q36,prescore,0
Student3,Coding,Linux_command_line,Q37,prescore,0
Student3,Coding,Linux_command_line,Q38,prescore,0
Student3,Coding,Linux_command_line,Q39,prescore,0
Student3,Coding,Linux_command_line,Q40,prescore,0
Student3,ProfDev,Authorship,Q41,prescore,0
Student3,ProfDev,Authorship,Q42,prescore,1
Student3,ProfDev,Authorship,Q43,prescore,1
Student3,ProfDev,Authorship,Q44,prescore,1
Student3,ProfDev,Reading_papers,Q45,prescore,1
Student3,ProfDev,Reading_papers,Q46,prescore,1
Student3,ProfDev,Reading_papers,Q47,prescore,1
Student3,ProfDev,Reading_papers,Q48,prescore,1
Student3,ProfDev,Writing_paper,Q49,prescore,1
Student3,ProfDev,Writing_paper,Q50,prescore,1
Student3,ProfDev,Writing_paper,Q51,prescore,1
Student3,ProfDev,Writing_paper,Q52,prescore,1
Student3,ProfDev,Coding_solutions,Q53,prescore,1
Student3,ProfDev,Coding_solutions,Q54,prescore,1
Student3,ProfDev,Coding_solutions,Q55,prescore,0
Student3,ProfDev,Coding_solutions,Q56,prescore,1
Student3,ProfDev,Interpreting_plots,Q57,prescore,0
Student3,ProfDev,Interpreting_plots,Q58,prescore,1
Student3,ProfDev,Interpreting_plots,Q59,prescore,1
Student3,ProfDev,Interpreting_plots,Q60,prescore,0
Student32,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student32,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student32,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student32,Biology,Cancer_biology_cell_lines,Q4,prescore,1
Student32,Biology,Sex_chromosomes,Q5,prescore,0
Student32,Biology,Sex_chromosomes,Q6,prescore,1
Student32,Biology,Sex_chromosomes,Q7,prescore,1
Student32,Biology,Sex_chromosomes,Q8,prescore,1
Student32,Biology,RNA_RNAseq,Q9,prescore,0
Student32,Biology,RNA_RNAseq,Q10,prescore,0
Student32,Biology,RNA_RNAseq,Q11,prescore,1
Student32,Biology,RNA_RNAseq,Q12,prescore,1
Student32,Biology,Gene_expression,Q13,prescore,0
Student32,Biology,Gene_expression,Q14,prescore,1
Student32,Biology,Gene_expression,Q15,prescore,1
Student32,Biology,Gene_expression,Q16,prescore,1
Student32,Biology,XCI,Q17,prescore,1
Student32,Biology,XCI,Q18,prescore,1
Student32,Biology,XCI,Q19,prescore,0
Student32,Biology,XCI,Q20,prescore,1
Student32,Coding,R_Rmd,Q21,prescore,1
Student32,Coding,R_Rmd,Q22,prescore,1
Student32,Coding,R_Rmd,Q23,prescore,1
Student32,Coding,R_Rmd,Q24,prescore,1
Student32,Coding,R_data_frames,Q25,prescore,0
Student32,Coding,R_data_frames,Q26,prescore,0
Student32,Coding,R_data_frames,Q27,prescore,0
Student32,Coding,R_data_frames,Q28,prescore,1
Student32,Coding,R_functions_loops,Q29,prescore,1
Student32,Coding,R_functions_loops,Q30,prescore,1
Student32,Coding,R_functions_loops,Q31,prescore,1
Student32,Coding,R_functions_loops,Q32,prescore,1
Student32,Coding,R_if_statements,Q33,prescore,1
Student32,Coding,R_if_statements,Q34,prescore,1
Student32,Coding,R_if_statements,Q35,prescore,1
Student32,Coding,R_if_statements,Q36,prescore,1
Student32,Coding,Linux_command_line,Q37,prescore,1
Student32,Coding,Linux_command_line,Q38,prescore,0
Student32,Coding,Linux_command_line,Q39,prescore,0
Student32,Coding,Linux_command_line,Q40,prescore,0
Student32,ProfDev,Authorship,Q41,prescore,0
Student32,ProfDev,Authorship,Q42,prescore,0
Student32,ProfDev,Authorship,Q43,prescore,0
Student32,ProfDev,Authorship,Q44,prescore,1
Student32,ProfDev,Reading_papers,Q45,prescore,1
Student32,ProfDev,Reading_papers,Q46,prescore,1
Student32,ProfDev,Reading_papers,Q47,prescore,1
Student32,ProfDev,Reading_papers,Q48,prescore,1
Student32,ProfDev,Writing_paper,Q49,prescore,1
Student32,ProfDev,Writing_paper,Q50,prescore,1
Student32,ProfDev,Writing_paper,Q51,prescore,1
Student32,ProfDev,Writing_paper,Q52,prescore,0
Student32,ProfDev,Coding_solutions,Q53,prescore,1
Student32,ProfDev,Coding_solutions,Q54,prescore,1
Student32,ProfDev,Coding_solutions,Q55,prescore,1
Student32,ProfDev,Coding_solutions,Q56,prescore,1
Student32,ProfDev,Interpreting_plots,Q57,prescore,1
Student32,ProfDev,Interpreting_plots,Q58,prescore,1
Student32,ProfDev,Interpreting_plots,Q59,prescore,1
Student32,ProfDev,Interpreting_plots,Q60,prescore,0
Student23,Biology,Cancer_biology_cell_lines,Q1,prescore,1
Student23,Biology,Cancer_biology_cell_lines,Q2,prescore,1
Student23,Biology,Cancer_biology_cell_lines,Q3,prescore,1
Student23,Biology,Cancer_biology_cell_lines,Q4,prescore,1
Student23,Biology,Sex_chromosomes,Q5,prescore,0
Student23,Biology,Sex_chromosomes,Q6,prescore,1
Student23,Biology,Sex_chromosomes,Q7,prescore,1
Student23,Biology,Sex_chromosomes,Q8,prescore,1
Student23,Biology,RNA_RNAseq,Q9,prescore,1
Student23,Biology,RNA_RNAseq,Q10,prescore,1
Student23,Biology,RNA_RNAseq,Q11,prescore,1
Student23,Biology,RNA_RNAseq,Q12,prescore,1
Student23,Biology,Gene_expression,Q13,prescore,0
Student23,Biology,Gene_expression,Q14,prescore,1
Student23,Biology,Gene_expression,Q15,prescore,1
Student23,Biology,Gene_expression,Q16,prescore,1
Student23,Biology,XCI,Q17,prescore,1
Student23,Biology,XCI,Q18,prescore,1
Student23,Biology,XCI,Q19,prescore,1
Student23,Biology,XCI,Q20,prescore,1
Student23,Coding,R_Rmd,Q21,prescore,1
Student23,Coding,R_Rmd,Q22,prescore,1
Student23,Coding,R_Rmd,Q23,prescore,1
Student23,Coding,R_Rmd,Q24,prescore,1
Student23,Coding,R_data_frames,Q25,prescore,0
Student23,Coding,R_data_frames,Q26,prescore,0
Student23,Coding,R_data_frames,Q27,prescore,1
Student23,Coding,R_data_frames,Q28,prescore,1
Student23,Coding,R_functions_loops,Q29,prescore,1
Student23,Coding,R_functions_loops,Q30,prescore,1
Student23,Coding,R_functions_loops,Q31,prescore,0
Student23,Coding,R_functions_loops,Q32,prescore,1
Student23,Coding,R_if_statements,Q33,prescore,1
Student23,Coding,R_if_statements,Q34,prescore,1
Student23,Coding,R_if_statements,Q35,prescore,1
Student23,Coding,R_if_statements,Q36,prescore,1
Student23,Coding,Linux_command_line,Q37,prescore,1
Student23,Coding,Linux_command_line,Q38,prescore,1
Student23,Coding,Linux_command_line,Q39,prescore,1
Student23,Coding,Linux_command_line,Q40,prescore,1
Student23,ProfDev,Authorship,Q41,prescore,0
Student23,ProfDev,Authorship,Q42,prescore,0
Student23,ProfDev,Authorship,Q43,prescore,1
Student23,ProfDev,Authorship,Q44,prescore,1
Student23,ProfDev,Reading_papers,Q45,prescore,1
Student23,ProfDev,Reading_papers,Q46,prescore,0
