Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Iteration,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q177_I am 18 years or older and I agree to participate in this study.,Q176_3_Q176 - Date,Q115_1_Please respond to each of the following statements. - Research makes me anxious.,Q115_2_Please respond to each of the following statements. - I feel insecure concerning the analysis of research data.,Q115_3_Please respond to each of the following statements. - Research scares me.,Q115_4_Please respond to each of the following statements. - Research is stressful.,Q115_5_Please respond to each of the following statements. - Research makes me nervous.,Q115_6_Please respond to each of the following statements. - Research is complicated.,Q115_7_Please respond to each of the following statements. - Research is difficult.,Q115_8_Please respond to each of the following statements. - Research is a complex subject.,"Q135_Please indicate how confident you are in your ability to use technical science skills (use of tools, instruments, and/or techniques)",Q137_Please indicate how confident you are in your ability to generate a research question to answer,Q139_Please indicate how confident you are in your ability to figure out what data/observations to collect and how to collect them,Q141_Please indicate how confident you are in your ability to create explanations for the results of the study,Q143_Please indicate how confident you are in your ability to use scientific literature and/or reports to guide research,Q145_Please indicate how confident you are in your ability to develop theories (integrate and coordinate results from multiple studies),Q161_A person who thinks it is valuable to conduct research that builds on the world's scientific knowledge,Q163_A person who feels discovering something new in the sciences is thrilling,Q165_A person who thinks discussing new theories and ideas between scientists is important,Q167_A person who thinks that scientific research can solve many of today's world challenges,"Q149_""I have a strong sense of belonging to the community of scientists""","Q151_""I derive great personal satisfaction from working on a team that is doing important research""","Q153_""I have come to think of myself as a scientist""","Q155_""I feel like I belong in the field of science""","Q157_""The daily work of a scientist is appealing to me""","Q48_To what extent do you intend to pursue a career in science, but not medicine?",Q52_To what extent do you intend to pursue a science-related research career?,Q123_I most closely identify as - Selected Choice,"Q123_3_TEXT_I most closely identify as - a gender not listed, please describe - Text",Q125_I most closely identify as - Selected Choice,"Q125_8_TEXT_I most closely identify as - Other, please describe - Text","Q127_What is your parents' or your guardians' highest completed level of education? If you have more than one parent, and they have different levels of education, choose the higher of the two.",Q129_1_Please write in your parent or guardian's occupation - Parent or guardian 1,Q129_2_Please write in your parent or guardian's occupation - Parent or guardian 2,Q126_What is your current GPA?,Q131_What is your major?,Q133_What year are you in college?,Q135_Have you participated in an undergraduate research experience? (e.g. doing research in a faculty member's lab?),Q131_Please describe the main project that you worked on during your undergraduate research experience.,Q137_Do you plan to do research after you graduate?
10/12/2022 9:49,10/12/2022 9:52,100,179,TRUE,10/12/2022 9:52,1,R_2QoBvBWzGkwOUpM,,,,,33.4306,-111.9256,anonymous,EN,Yes,10/12/2022,,,,,,,,,4,3,3,"absolutely confident
5
","absolutely confident
5
",3,Like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Customer Service Representative,N/A,4,Biochemistry,5th year or more,Yes,Researched fate determination in memory CD8+ T cells,Yes
10/12/2022 12:43,10/12/2022 12:46,100,166,TRUE,10/12/2022 12:46,1,R_1Qbl8pv80nUy0s0,,,,,33.4306,-111.9256,anonymous,EN,Yes,10/12/2021,,,,,,,,,2,2,2,2,2,2,Like me,Like me,Like me,Like me,2,4,2,3,4,8,8,a woman,,"Hispanic, Latino, or Spanish origin",,High school graduate- high school diploma or the equivalent (e.g. GED),NJ Transit,N/A,3.82,Biomedical sciences,4th year,Yes,,Yes
10/12/2022 13:02,10/12/2022 13:17,100,936,TRUE,10/12/2022 13:17,1,R_1FgZQspYvTA4vWP,,,,,32.7776,-79.9413,anonymous,EN,Yes,10/12/2022,,,,,,,,,4,4,3,4,4,"absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Insurance Management,Actor,4,Neuroscience,5th year or more,Yes,Studying the effects of trimming genomes in the placenta regarding sexual differentiation.,Yes
10/12/2022 17:03,10/12/2022 17:06,100,192,TRUE,10/12/2022 17:06,1,R_pDJFbBTIUoxCCxb,,,,,39.1526,-84.3869,anonymous,EN,Yes,10/12/2022,,,,,,,,,4,3,3,2,3,3,Like me,Like me,Very much like me,Very much like me,2,3,3,2,3,6,3,a man,,Black or African American,,Doctoral degree (e.g. PhD),Professor,Nurse,3.67,Graduate Certificate in Computational Life Sciences,5th year or more,No,,Yes
10/12/2022 19:33,10/12/2022 19:36,100,181,TRUE,10/12/2022 19:36,1,R_1hBgn2OLSz0RT2W,,,,,30.3562,-81.688,anonymous,EN,Yes,10/12/2022,,,,,,,,,4,2,3,3,4,3,Like me,Like me,Like me,Like me,3,4,3,4,4,"Definitely will
10
",8,a woman,,White/Caucasian,,Some college,Oil Field,Stay at home parent,3.27,Biology,3rd year,No,,Unsure
10/13/2022 5:13,10/13/2022 5:16,100,213,TRUE,10/13/2022 5:16,1,R_33v8fsqV5SuPKe5,,,,,34.2015,-84.4222,anonymous,EN,Yes,10/13/2022,,,,,,,,,4,4,4,3,3,3,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5",3,"Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,Some college,Retired manufacturing engineer ,Retired flight line controller ,3,Biology ,3rd year,No,,Yes
10/14/2022 17:33,10/14/2022 17:39,100,325,TRUE,10/14/2022 17:39,1,R_cXY0ffFJKOjZukF,,,,,34.1979,-118.5371,anonymous,EN,Yes,10/14/2022,,,,,,,,,3,4,"absolutely confident
5
",4,"absolutely confident
5
","absolutely confident
5
",Very much like me,Somewhat like me,Not like me at all,Very much like me,"Strongly disagree
1","Strongly agree

5","Strongly disagree
1",3,"Strongly agree
5","Definitely will
10
",8,a woman,,Asian,,"Bachelor's degree (e.g. BA, BS)",Registered Nurse,Truck Driver,2.7,Biological Sciences,4th year,No,,Unsure
10/15/2022 19:58,10/15/2022 20:03,100,292,TRUE,10/15/2022 20:03,1,R_3OjD315RSZphycl,,,,,40.7513,-73.8244,anonymous,EN,Yes,10/15/2022,,,,,,,,,4,3,3,4,4,3,Very much like me,Very much like me,Very much like me,Very much like me,3,4,4,"Strongly agree
5","Strongly agree
5","Definitely will
10
",9,a man,,"Hispanic, Latino, or Spanish origin",,High school graduate- high school diploma or the equivalent (e.g. GED),Landscaper,Caretaker,3.2,Biological science ,4th year,Yes,I was apart of Dr. Coopers Biology education research lab where we researched the effects of fear of negative evaluations in large university science classes,Yes
10/8/2023 12:56,10/8/2023 12:59,100,173,TRUE,10/8/2023 12:59,2,R_2SJN7M95EiVX5iG,,,,,37.7703,-122.4407,anonymous,EN,Yes,10/8/2023,"Strongly disagree
1",3,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",5,5,6,4,"absolutely confident
5
",4,4,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Like me,2,"Strongly agree

5",2,2,"Strongly agree
5","Definitely will
10
",8,a man,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),Army,Army,3.95,Biochemistry,4th year,No,,Yes
10/8/2023 19:03,10/8/2023 19:07,100,238,TRUE,10/8/2023 19:07,2,R_1g5ez3AskArjo51,,,,,47.4448,-122.1194,anonymous,EN,Yes,10/8/2023,5,3,3,5,5,5,6,6,3,4,4,"absolutely confident
5
","absolutely confident
5
",4,Very much like me,Very much like me,Like me,Very much like me,"Strongly agree
5","Strongly agree

5",3,"Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,Asian,,Some college,Factory worker,Registered nurse,3.5,Biology,4th year,No,,Yes
10/8/2023 20:37,10/8/2023 20:40,100,218,TRUE,10/8/2023 20:40,2,R_3fl7g5DSy5Py0yB,,,,,33.5988,-111.8795,anonymous,EN,Yes,10/8/2023,2,4,"Strongly disagree
1",5,4,6,5,6,3,2,2,2,2,2,Like me,Like me,Like me,Like me,3,2,3,3,3,"Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",Account Manager,Sales rep,4,Undeclared ,5th year or more,Yes,Covid research ,Yes
10/9/2023 7:41,10/9/2023 7:54,100,737,TRUE,10/9/2023 7:54,2,R_2WTsp7FjBUnhNuk,,,,,43.0697,-70.958,anonymous,EN,Yes,10/9/2023,2,"Strongly disagree
1","Strongly disagree
1",2,"Strongly disagree
1",2,"Strongly disagree
1","Strongly disagree
1","absolutely confident
5
",4,3,"absolutely confident
5
",4,4,Like me,Very much like me,Very much like me,Like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5",7,"Definitely will
10
",a man,,White/Caucasian,,Some college,Real Estate Investor,,4,M.S. Computational Life Sciences,1st year,Yes,"I collaborated with a teammate to conduct research on ""Boundary Strength Assessment of Free Vibrating Beams: A Computational Approach."" We compiled reports, scripts, and simulations for a client from South Korea and presented our findings at a conference seminar held at the University of Massachusetts Amherst.",Yes
10/9/2023 7:13,10/9/2023 7:55,100,2533,TRUE,10/9/2023 7:55,2,R_2AXSgSRYmiDVC8P,,,,,40.7122,-89.6283,anonymous,EN,Yes,10/9/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",2,2,4,"absolutely confident
5
",3,"absolutely confident
5
","absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",Decline to state,,"Other, please describe","Mediterranean, Spanish, & East. European ","Professional degree (e.g. MD, DDS, DVM, JD)",Physician ,n/a,3.27,"B.Sc. Genetics Cell & Developmental Biology, Cert. Computational Life Science",5th year or more,Yes,"During my first research position I worked as an RA with Dr. Dennis Wilson at Mesa Community College investigating how fungal endophytes affect the production of secondary plant metabolites in Aristolochia watsonii (Southwestern Pipevine). My lab work primarily was fungal culturing, basic morphological identification of fungal species, DNA extraction, PCR, sequencing the ITS region, and preliminary identification of species via BLASTn. Additionally, I reviewed literature and produced a basic manuscript for my portion of the research. Based on the preliminary ITS results, I was able to identify one novel species. Unfortunately, the project was cut short due to the COVID-19 pandemic.

Additionally in Fall 2021 I participated in the SOLS Research Immersion Experience with Dr. Holechek. This covered additional lab techniques within the context of graduate research being conducted in the Holechek lab.

However most recently I completed a 10-month internship at the USDA's National Center for Agricultural Utilization Research where I conducted research in the Mycotoxin Prevention and Applied Microbiology Research Unit and ARS Culture Collection where I studied fungi associated with tar spot of corn. In addition to the same techniques I used during my Aristolochia research, I also learned additional DNA extraction protocols, performed sequencing reactions for NextGen sequencing, cleaned up reads in Sequencher and visualized and aligned using Geneious. 

",Yes
10/9/2023 9:49,10/9/2023 9:55,100,356,TRUE,10/9/2023 9:55,2,R_27UO8pFJ7nQXAIm,,,,,29.7925,-95.3673,anonymous,EN,Yes,9-Oct-23,5,6,5,5,6,6,"Strongly agree
7","Strongly agree
7",4,2,2,3,3,3,Like me,Very much like me,Like me,Somewhat like me,3,"Strongly agree

5",2,4,"Strongly agree
5",8,8,a man,,White/Caucasian,,"Completed no school or some elementary, middle, or high school",Ground worker for an airline company,No occupation,4,"Genetics, Cell, and Developmental Biology",2nd year,No,,Yes
10/9/2023 10:16,10/9/2023 10:22,100,324,TRUE,10/9/2023 10:22,2,R_2v00RQfDb2vjP3E,,,,,36.0557,-94.1567,anonymous,EN,Yes,"9th, October 2023","Strongly disagree
1",4,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly agree
7","Strongly agree
7","Strongly agree
7","absolutely confident
5
",3,3,3,3,3,Very much like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,"Hispanic, Latino, or Spanish origin",,"Completed no school or some elementary, middle, or high school",Factory Worker,Store Worker,2.3,Biomedical Sciences,3rd year,No,,Yes
10/9/2023 11:43,10/9/2023 11:49,100,367,TRUE,10/9/2023 11:49,2,R_3iO0VuBz9DGTwGC,,,,,35.3084,-81.0256,anonymous,EN,Yes,10/9/2023,4,4,3,3,3,5,5,6,4,2,3,3,4,2,Like me,Like me,Like me,Like me,2,3,3,4,4,8,8,a man,,White/Caucasian,,Some college,Retired Military,Homemaker,4,Conservation Biology and Ecology,4th year,No,,Yes
10/9/2023 16:34,10/9/2023 16:43,100,534,TRUE,10/9/2023 16:43,2,R_2flzuKcmptliYTO,,,,,48.0132,-122.0679,anonymous,EN,Yes,10/9/2023,4,4,"Strongly disagree
1",3,3,3,6,6,"absolutely confident
5
",3,3,3,3,3,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,"Hispanic, Latino, or Spanish origin",,High school graduate- high school diploma or the equivalent (e.g. GED),Forklifter,Unknown,3.86,Biology,5th year or more,Yes,"I worked in studying a protein called APOBEC3B which is known to be highly expressed in ovarian cancer. Therefore, we focused on knocking down this gene and see how it reacts to chemotherapy drug called Olaparib. ",Yes
10/9/2023 17:23,10/9/2023 17:26,100,178,TRUE,10/9/2023 17:26,2,R_1LcZj156Bt3OBOd,,,,,29.4227,-98.4927,anonymous,EN,Yes,10/9/2023,5,5,4,4,5,4,5,6,2,2,3,"not at all confident
1
",3,"not at all confident
1
",Very much like me,Like me,Like me,Very much like me,4,4,2,3,4,8,8,a woman,,Asian,,High school graduate- high school diploma or the equivalent (e.g. GED),IT,Yoga instructor,3.7,Biomedical Sciences,2nd year,No,,Yes
10/9/2023 18:36,10/9/2023 18:39,100,139,TRUE,10/9/2023 18:39,2,R_3R8hqHg03ZUoD3q,,,,,37.7042,-97.2778,anonymous,EN,Yes,10/9/2023,2,4,"Strongly disagree
1",5,"Strongly disagree
1",6,6,6,4,4,4,4,4,4,Like me,Very much like me,Like me,Like me,4,4,"Strongly agree
5","Strongly agree
5","Strongly agree
5",5,"Definitely will
10
",a man,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),WAITRESS,SALES,3.5,BIOMEDICAL SCIENCES,4th year,Yes,ACE SCHOLARS phylogenetic and reproductive cancer groups. working with R and 'dry lab' skills. ,Yes
10/9/2023 19:11,10/9/2023 19:17,100,361,TRUE,10/9/2023 19:17,2,R_9zSAkDgqA2oeC0p,,,,,33.4532,-112.0748,anonymous,EN,Yes,10/9/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",3,2,4,4,4,3,Very much like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",3,"Strongly agree
5",4,6,"Definitely will
10
",a woman,,Asian,,"Bachelor's degree (e.g. BA, BS)",Retired real estate broker,N/A,4,Biomedical Science,3rd year,Yes,Working with a 3D statistical software to measure CT scans of lizard skeleton and volunteer tome at CASS homeless shelter in Phoenix to administer cognitive screening test to homeless seniors,Yes
10/9/2023 19:14,10/9/2023 19:21,100,435,TRUE,10/9/2023 19:21,2,R_ulX7xJKWOVIZUXv,,,,,39.9648,-83.126,anonymous,EN,Yes,10/9/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",3,"Strongly disagree
1",6,5,6,4,4,3,3,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Teacher,Plumber,3.13,Biochemistry - Medicinal Chemistry,4th year,Yes,"I participated in Dr. Boley's research class PHY 294: Remote Analysis of Photovoltaics. We developed our own questions based on what we could observe via remote SEM analysis. I chose to look at the difference in cathodoluminesence emissions of a Si/Ag solar cell when hit with varying accelerating voltages (5, 10, and 15 kV).",Yes
10/9/2023 21:20,10/9/2023 21:24,100,233,TRUE,10/9/2023 21:24,2,R_24dUS4pdpgczIXw,,,,,39.1489,-84.4858,anonymous,EN,Yes,10/10/2023,6,5,5,5,5,5,5,"Strongly agree
7",4,4,4,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,3,4,2,4,4,4,5,a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",self employed,supervisor,3.25,Biology,5th year or more,No,,Unsure
10/9/2023 22:17,10/9/2023 22:21,100,224,TRUE,10/9/2023 22:21,2,R_2WALAxKIvs9vCcW,,,,,33.4374,-111.8008,anonymous,EN,Yes,10/9/2023,3,5,4,3,3,6,6,"Strongly agree
7",4,3,3,4,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Like me,2,"Strongly agree

5",3,3,4,"Definitely will
10
",8,a woman,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),No Job,,3.2,Neuroscience,5th year or more,Yes,Dr. Melissa Wilson's Sex Chromosome Lab working on analyzing ovariectomy vs. sham surgery data in brain regions ,Yes
10/10/2023 1:06,10/10/2023 1:15,100,565,TRUE,10/10/2023 1:15,2,R_3qkinMgIWBD5Zei,,,,,30.0409,-95.5302,anonymous,EN,Yes,10/10/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",3,"Strongly disagree
1",3,"Strongly disagree
1",5,3,4,"absolutely confident
5
",4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly disagree
1",3,"Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,"Hispanic, Latino, or Spanish origin",,Some college,Funeral Director,Real Estate Agent,2.71,Data Science and Biological Science ,5th year or more,Yes,"During the summer of 2023, I had the privilege of embarking on a research expedition to Panama for two weeks under the supervision of Professor Liebig and Professor Deviche. This unique opportunity gave me invaluable hands-on experience conducting field research in a diverse and challenging environment.

While in Panama, I actively participated in immersive field experiences encompassing various activities, including lectures, forest group hikes, and cultural expeditions. I had the chance to engage with the indigenous Embera community, visit the iconic Miraflores locks of the Panama Canal, and explore Panama City's colonial Old Quarter.

The core of my research activities during this expedition focused on an independent project centered around the observation and analysis of fluorescent organisms in Panama's rich biodiversity. Using calibrated UV light sources during nocturnal field observations, I meticulously documented fluorescent phenomena in various organisms, such as lichens, scorpions, and insect eggs. My research aimed to investigate the diversity and abundance of fluorescent lichens across different ecological settings. Additionally, I conducted correlation analyses to explore the relationship between lichen fluorescence and environmental variables, including sunlight exposure and human activity.

The outcomes of this research were captured in a comprehensive paper that elucidated the mechanisms and functions of lichen fluorescence. This experience not only contributed to our understanding of the physiological responses of lichens to environmental stimuli but also shed light on potential applications in environmental monitoring and biomonitoring.
",Yes
10/10/2023 9:31,10/10/2023 9:36,100,265,TRUE,10/10/2023 9:36,2,R_216CgmAeej3J1zA,,,,,32.7203,-117.1552,anonymous,EN,Yes,10/10/2023,3,5,3,6,5,6,6,6,3,2,3,3,4,4,Very much like me,A little like me,Very much like me,Very much like me,4,"Strongly agree

5",3,4,"Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,Asian,,"Bachelor's degree (e.g. BA, BS)",Nymia Martinez,N/A,3.29,"Biological Sciences (Genetics, Cell, and Development)",3rd year,No,,Yes
